group,barnes_id,sex,dob,age_at_test_mo,age_cat,strain,data_file,notes,sample_1_east_obj_4_s,sample_1_west_obj_4_s,sample_2_east_obj_19_s,sample_2_west_obj_19_s,test_expl_obj_4_s,test_expl_obj_19_s,test_total_expl_s,disc_rat_total,sufficient_expl,test_first_2min_expl_obj_4_s,test_first_2min_expl_obj_19_s,test_first_2min_total_expl_s,disc_rat_2min,test_first_visit_obj_4
1,10861,M,10/28/2022,6.4,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,50.7,63.39,49.71,48.96,31.74,34.16,65.89999999999999,-0.03672230652503791,TRUE,20.556,20.154,40.71,0.009874723655121617,0
2,10862,M,10/28/2022,6.4,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,43.76,33.16,8.94,12.37,20.8,37.71,58.510000000000005,-0.2890104255682789,TRUE,6.363,16.079,22.442,-0.43293824079850285,0
1,10867,M,11/22/2022,5.6,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,30.75,37.13,33.07,46.07,13.95,11.32,25.27,0.10407597942223977,TRUE,12.866,10.423,23.289,0.10489930868650434,1
2,10868,M,11/22/2022,5.6,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,57.58,71.55,46.07,53.49,39.23,21.62,60.849999999999994,0.2894001643385373,TRUE,23.579,7.761,31.34,0.5047223994894704,0
2,10871,M,12/14/2022,4.8,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,23.32,47.05,18.58,28.08,31.68,43.29,74.97,-0.15486194477791115,TRUE,9.946,11.073,21.019,-0.05361815500261671,1
1,10873,M,12/16/2022,4.8,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,58.35,52.93,45.49,21.59,29.02,29.36,58.379999999999995,-0.00582391229873244,TRUE,15.612,12.239,27.851,0.12110875731571576,0
1,10876,F,10/23/2022,6.8,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,77.95,58.81,28.82,22.56,40.64,29.7,70.34,0.1555302814899062,TRUE,18.6,17.647,36.247,0.02629183104808682,0
1,10877,F,10/23/2022,6.8,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,35.44,61.01,68.93,50.31,28.02,32.5,60.519999999999996,-0.07402511566424323,TRUE,10.663,23.25,33.913,-0.37115560404564624,1
2,10883,F,11/17/2022,6,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,42.16,56.6,36.96,48.36,46.57,28.01,74.58,0.24886028425851434,TRUE,18.599,4.314,22.913,0.623445205778379,1
1,10884,F,11/17/2022,6,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,80.99,48.63,52.22,59.17,29.04,26.72,55.76,0.04160688665710187,TRUE,27.004,8.445,35.449,0.523540861519366,0
1,10892,F,12/16/2022,5,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,52.73,36.2,40.48,46.52,28.03,25.4,53.43,0.04922328279992518,TRUE,17.78,17.056,34.836,0.020783097944654962,1
1,10894,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,28.85,33.03,21.83,29.28,15.86,15.15,31.009999999999998,0.02289584005159623,TRUE,12.117,15.427,27.544,-0.12017136218414169,1
2,10895,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,21.37,23.37,15.24,6.63,6.37,15.7,22.07,-0.4227458087902129,TRUE,6.581,19.055,25.636,-0.4865813699485099,0
1,10896,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,48.82,22.52,34.49,45.69,32.67,13.81,46.480000000000004,0.40576592082616175,TRUE,5.907,1.407,7.314,0.6152584085315833,1
2,10897,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,24.16,22.65,34.74,48.69,1.91,6.38,8.29,-0.5392038600723764,FALSE,1.91,6.38,8.29,-0.5392038600723764,1
1,10898,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,3.21,10.19,2.12,4.1,6.34,7.84,14.18,-0.10578279266572638,FALSE,6.34,7.84,14.18,-0.10578279266572638,0
2,10899,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,10.62,19.84,13.35,14.79,3.24,15.81,19.05,-0.6598425196850394,TRUE,3.24,15.81,19.05,-0.6598425196850394,0
1,10900,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,5.85,9.88,3.66,5.44,6.72,2.63,9.35,0.4374331550802139,FALSE,1.653,2.362,4.015000000000001,-0.17658779576587796,1
