event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14984825565,true,2001-05-10 01:00:00.000,-73.86904943155876,42.70366018273674,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825566,true,2001-05-10 01:12:00.000,-73.8686011234265,42.703785612978315,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825567,true,2001-05-10 01:15:00.000,-73.8686784843857,42.703835456688694,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825568,true,2001-05-10 01:20:00.000,-73.86886558234336,42.70365836711286,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825569,true,2001-05-10 01:25:00.000,-73.86872448264734,42.703460745478125,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825570,true,2001-05-10 01:29:00.000,-73.86866843500162,42.703313043363934,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825571,true,2001-05-10 01:35:00.000,-73.86881374162948,42.703285661300754,"Hunt","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825572,true,2001-05-10 01:42:00.000,-73.86876383111098,42.70323032535173,"Cat - Cat Interaction","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825573,true,2001-05-10 01:47:00.000,-73.86889558983735,42.70308159647425,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825574,true,2001-05-10 01:55:00.000,-73.86915802464847,42.702850407422055,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825575,true,2001-05-10 01:59:00.000,-73.86893925992396,42.703050238640735,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825576,true,2001-05-10 02:05:00.000,-73.86881568048251,42.7031788762249,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825577,true,2001-05-10 02:07:00.000,-73.8689586661585,42.70327259388968,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825578,true,2001-05-10 21:26:00.000,-73.8689809849414,42.7036170012613,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825579,true,2001-05-10 21:33:00.000,-73.86892518775768,42.70361014643742,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825580,true,2001-05-10 21:37:00.000,-73.86886134120718,42.70364986013575,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825581,true,2001-05-10 21:40:00.000,-73.86897768057962,42.70359724677095,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825582,true,2001-05-10 21:43:00.000,-73.86905784512287,42.70366080614368,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825583,true,2001-05-10 21:45:00.000,-73.86905282994698,42.703533510108606,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825584,true,2001-05-10 21:51:00.000,-73.8690238600831,42.70366308211554,"Cat - Human Interaction","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825585,true,2001-05-10 21:54:00.000,-73.86915026514305,42.703587334003565,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825586,true,2001-05-14 18:26:00.000,-73.8689821505671,42.70359314842312,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825587,true,2001-05-14 18:28:00.000,-73.86904428518373,42.70365445850587,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825588,true,2001-05-14 18:33:00.000,-73.86919074215153,42.703597369457405,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825589,true,2001-05-14 18:35:00.000,-73.86937824989485,42.70346485988387,"Hunt","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825590,true,2001-05-14 18:45:00.000,-73.86916026833313,42.70357437492235,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825591,true,2001-05-14 18:47:00.000,-73.86914230565174,42.70367604880168,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
14984825592,true,2001-05-14 18:52:00.000,-73.86894755728564,42.70371636108529,"General","","radio-transmitter","Felis catus","Billy","Billy","Domestic Cats in the Albany Pine Bush, New York"
