tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-sex,deployment-id
F89,F89,Puma concolor,2011-03-25 04:01:00.000,2011-04-10 17:00:00.000,Resident,7,f,F89_D0
F64,F64,Puma concolor,2011-05-15 16:01:00.000,2012-03-19 02:00:00.000,Resident,10,f,F64_D0
F150,F150,Puma concolor,2011-12-15 22:15:00.000,2012-01-27 23:16:00.000,Resident,5,f,F150_D0
F53,F53,Puma concolor,2012-01-12 22:03:00.000,2013-01-10 08:01:00.000,Resident,12,f,F53_D0
F108,F108,Puma concolor,2012-01-30 16:02:00.000,2012-12-17 05:01:00.000,Resident,4,f,F108_D0
F70,F70,Puma concolor,2012-04-21 07:01:00.000,2012-12-07 23:02:00.000,Resident,12,f,F70_D0
F133,F133,Puma concolor,2012-04-30 19:16:00.000,2013-03-12 05:16:00.000,Resident,6,f,F133_D0
M151,M151,Puma concolor,2012-05-03 07:15:00.000,2012-05-10 20:16:00.000,Resident,3,m,M151_D0
C022,C022,Canis latrans,2013-01-18 23:01:00.000,2015-01-23 16:00:00.000,Resident/Transient/Resident,2,m,C022_D0
C024,C024,Canis latrans,2013-01-22 23:01:00.000,2014-05-18 00:01:00.000,Transient,3,m,C024_D0
C023,C023,Canis latrans,2013-01-22 23:02:00.000,2015-01-23 08:01:00.000,Resident,2,m,C023_D0
F64,F64,Puma concolor,2013-02-06 22:16:00.000,2014-01-19 14:15:00.000,Resident,11,f,F64_D1
F157,F157,Puma concolor,2013-02-22 21:46:00.000,2013-11-07 22:03:00.000,Transient/Resident,3,f,F157_D0
C026,C026,Canis latrans,2013-03-11 23:01:00.000,2014-01-30 00:01:00.000,Resident,1,f,C026_D0
F53,F53,Puma concolor,2013-04-04 18:53:00.000,2013-11-04 01:53:00.000,Resident,13,f,F53_D1
F108,F108,Puma concolor,2013-05-14 09:03:00.000,2014-04-15 02:01:00.000,Resident,5,f,F108_D1
F70,F70,Puma concolor,2013-05-15 22:06:00.000,2013-12-16 20:01:00.000,Resident,13,f,F70_D1
C028,C028,Canis latrans,2013-06-14 22:06:00.000,2015-06-27 16:03:00.000,Resident,6,m,C028_D0
C029,C029,Canis latrans,2013-09-05 07:08:00.000,2014-08-29 16:00:00.000,Transient/Resident,3,m,C029_D0
F159,F159,Puma concolor,2013-11-19 22:37:00.000,2014-10-16 03:37:00.000,Transient/Resident,2,f,F159_D0
F160,F160,Puma concolor,2014-01-03 10:23:00.000,2015-01-21 23:23:00.000,Resident,2,f,F160_D0
F53,F53,Puma concolor,2014-02-11 21:35:00.000,2014-11-05 20:01:00.000,Resident,14,f,F53_D2
F64,F64,Puma concolor,2014-02-12 20:23:00.000,2015-04-22 16:01:00.000,Resident,12,f,F64_D2
C033,C033,Canis latrans,2014-07-21 06:06:00.000,2015-10-27 00:01:00.000,Resident,4,m,C033_D0
M145,M145,Puma concolor,2015-01-08 01:04:00.000,2015-11-30 20:02:00.000,Resident,10,m,M145_D0
C034,C034,Canis latrans,2015-03-02 01:01:00.000,2017-01-07 02:01:00.000,Resident,2,m,C034_D0
C035,C035,Canis latrans,2015-03-02 01:09:00.000,2015-10-12 08:00:00.000,Resident,1,m,C035_D0
C036,C036,Canis latrans,2015-03-03 01:03:00.000,2016-03-04 20:01:00.000,Transient,0,f,C036_D0
C038,C038,Canis latrans,2015-03-03 22:01:00.000,2015-10-12 02:01:00.000,Resident,3,f,C038_D0
C037,C037,Canis latrans,2015-03-03 22:06:00.000,2015-07-31 14:01:00.000,Transient,1,m,C037_D0
C030,C030,Canis latrans,2015-03-04 22:07:00.000,2015-03-06 20:01:00.000,Resident,0,f,C030_D0
C039,C039,Canis latrans,2015-06-14 16:06:00.000,2015-10-28 17:01:00.000,Resident,1,f,C039_D0
C040,C040,Canis latrans,2015-06-18 19:08:00.000,2016-09-08 20:00:00.000,Resident,4,f,C040_D0
C042,C042,Canis latrans,2015-06-23 18:01:00.000,2016-09-30 19:01:00.000,Resident,1,m,C042_D0
