barnes_id,sample_2_east_obj_19_s,sample_2_west_obj_19_s
10861,49.71,48.96
10862,8.94,12.37
10867,33.07,46.07
10868,46.07,53.49
10871,18.58,28.08
10873,45.49,21.59
10876,28.82,22.56
10877,68.93,50.31
10883,36.96,48.36
10884,52.22,59.17
10892,40.48,46.52
10894,21.83,29.28
10895,15.24,6.63
10896,34.49,45.69
10897,34.74,48.69
10898,2.12,4.1
10899,13.35,14.79
10900,3.66,5.44
10901,4.59,7.69
10902,28.08,38.92
10903,12.24,18.8
10909,18.63,15.84
10910,1.47,8.81
10918,29.18,27.43
10919,30.23,41.9
10920,35.6,30.21
10928,21.53,31.73
10929,28.23,57.99
10934,23.82,13.77
10935,25.52,69.39
10939,19.08,19.68
10940,5.11,6.95
10941,7.84,11.93
10942,20.07,30.28
10943,6.19,16.82
10944,20.02,24.28
10945,34.13,24.49
10946,28.52,20.04
10947,2.09,1.9
10948,6.78,12.82
10949,19.92,35.54
10950,14.34,22.38
10951,18.05,18.48
10952,11.62,9.16
10953,1.65,0
10954,2.69,7.82
10955,30.72,18.27
10956,7.47,31.45
10957,6.44,14.85
10958,0,0
10959,6.1,26.87
10960,10.57,10.98
